,0
1335,21.75
1336,58.0
1337,7.75
1338,10.75
1339,9.5
1340,0.0
1341,7.25
1342,5.0
1343,20.0
1344,20.5
1345,11.75
1346,12.75
1347,17.25
1348,27.75
1349,45.5
1350,16.25
1351,9.25
1352,13.75
1353,20.5
1354,21.75
1355,43.75
1356,19.0
1357,29.25
1358,5.5
1359,64.25
1360,12.0
1361,31.25
1362,7.75
1363,26.25
1364,12.75
1365,59.75
1366,28.25
1367,6.75
1368,34.25
1369,44.5
1370,34.5
1371,7.5
1372,10.0
1373,6.25
1374,18.25
1375,2.25
1376,4.0
1377,10.0
1378,30.25
1379,28.5
1380,27.5
1381,32.25
1382,30.25
1383,17.0
1384,5.25
1385,8.25
1386,3.25
1387,25.75
1388,9.25
1389,57.25
1390,38.25
1391,15.0
1392,31.5
1393,55.25
1394,16.25
1395,15.0
1396,15.75
1397,60.25
1398,10.5
1399,24.25
1400,11.0
1401,12.5
1402,12.25
1403,50.5
1404,3.25
1405,41.75
1406,12.5
1407,11.25
1408,29.25
1409,38.25
1410,13.5
1411,13.25
1412,33.75
1413,26.25
1414,39.5
1415,31.5
1416,38.75
1417,0.0
1418,5.0
1419,57.5
1420,17.5
1421,6.75
1422,23.75
1423,20.75
1424,22.75
1425,19.0
1426,48.25
1427,10.5
1428,7.75
1429,9.25
1430,27.75
1431,15.25
1432,14.0
1433,5.75
1434,31.0
1435,5.75
1436,14.5
1437,20.0
1438,21.25
1439,24.25
1440,17.75
1441,-1.0
1442,15.75
1443,18.75
1444,0.0
1445,24.25
1446,25.0
1447,45.75
1448,11.25
1449,12.25
1450,2.0
1451,50.5
1452,42.5
1453,31.5
1454,17.75
1455,24.5
1456,36.5
1457,41.0
1458,5.25
1459,5.75
1460,9.25
1461,48.75
1462,2.0
1463,56.75
1464,0.0
1465,29.75
1466,5.0
1467,20.25
1468,29.75
1469,26.0
1470,25.75
1471,28.75
1472,32.75
1473,1.25
1474,21.25
1475,59.5
1476,11.5
1477,20.0
1478,33.5
1479,0.0
1480,4.5
1481,27.0
1482,55.0
1483,4.75
1484,12.25
1485,26.25
1486,12.75
1487,22.5
1488,16.5
1489,20.5
1490,4.75
1491,19.25
1492,13.75
1493,15.0
1494,13.5
1495,34.0
1496,8.0
1497,31.25
1498,36.5
1499,18.75
1500,34.5
1501,39.5
1502,6.25
1503,33.5
1504,15.0
1505,11.5
1506,13.75
1507,1.25
1508,4.75
1509,25.25
1510,14.25
1511,5.5
1512,21.0
1513,41.25
1514,29.75
1515,26.25
1516,5.75
1517,13.75
1518,42.0
1519,37.25
1520,9.75
1521,43.75
1522,14.75
1523,37.75
1524,9.0
1525,3.5
1526,2.5
1527,2.5
1528,22.0
1529,13.5
1530,2.25
1531,44.25
1532,30.0
1533,8.5
1534,12.25
1535,56.75
1536,11.5
1537,20.75
1538,1.25
1539,29.5
1540,18.0
1541,30.5
1542,13.75
1543,20.75
1544,53.25
1545,29.0
1546,25.25
1547,38.5
1548,37.75
1549,12.75
1550,23.25
1551,22.5
1552,41.5
1553,9.0
1554,6.5
1555,36.25
1556,40.0
1557,23.75
1558,8.5
1559,0.0
1560,32.0
1561,10.5
1562,9.75
1563,52.5
1564,6.0
1565,4.75
1566,12.75
1567,7.5
1568,26.5
1569,23.5
1570,10.0
1571,30.25
1572,29.75
1573,16.75
1574,28.25
1575,49.75
1576,37.5
1577,19.25
1578,40.0
1579,1.25
1580,47.0
1581,9.25
1582,38.0
1583,20.25
1584,22.75
1585,53.5
1586,36.5
1587,44.75
1588,6.25
1589,23.0
1590,10.5
1591,7.5
1592,29.0
1593,21.0
1594,4.25
1595,10.5
1596,35.25
1597,58.75
1598,38.5
1599,38.75
1600,12.25
1601,13.5
1602,45.0
1603,5.75
